,NR_Pieu,y Coordonnees,x Coordonnees,"Diametre de
forage (mm/mm)","Niveau
Recepage (msm)","Niveau
Fondpieu (msm)","Longueur
beton (m)",CageType,"NiveauArm
Sup (msm)","Longueur
cages (m)",Unnamed: 10,latitude_WGS84,longitude_WGS84
50,P051,2498792.768,1114373.788,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173228034778425,6.128081955075882
51,P052,2498794.824,1114375.211,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17324114245827,6.128108265903141
52,P053,2498796.88,1114376.633,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17325424113772,6.128134576959277
53,P054,2498798.9359999998,1114378.055,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17326733981106,6.128160888028068
54,POSS,2498800.992,1114379.477,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17328043847829,6.128187199109521
55,P056,2498803.048,1114380.899,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17329353713939,6.1282135102036195
56,P057,2498805.105,1114382.321,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173306635944584,6.128239834257141
57,P058,2498807.161,1114383.744,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173319743587726,6.128266145160359
58,P059,2498809.2169999997,1114385.166,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17333284223049,6.128292456292432
59,P060,2498811.5319999997,1114386.767,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17334758973949,6.128322081954459
60,P061,2498813.588,1114388.189,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17336068836924,6.1283483931134395
61,P062,2498815.644,1114389.611,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17337378699289,6.1283747042850685
62,P063,2498817.7,1114391.034,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173386894604704,6.128401015253189
63,P064,2498819.756,1114392.456,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17339999321612,6.128427326450134
64,P065,2498821.812,1114393.878,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173413091821416,6.128453637659732
65,P066,2498823.8680000002,1114395.3,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173426190420614,6.12847994888199
66,P067,2498825.924,1114396.722,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173439289013686,6.128506260116901
67,P068,2498827.98,1114398.144,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17345238760063,6.128532571364462
68,P069,2498830.036,1114399.567,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173465495175755,6.1285588824085355
69,P070,2498832.0930000003,1114400.989,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17347859390064,6.128585206628226
70,P071,2498834.149,1114402.4109999998,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17349169246924,6.12861151791376
71,P072,2498777.483,1114360.176,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173103308594825,6.127887007763771
72,P073,2498779.539,1114361.598,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173116407325665,6.12791331870013
73,P074,2498781.595,1114363.02,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.1731295060504,6.127939629649151
74,P075,2498783.651,1114364.442,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173142604769026,6.127965940610822
75,P076,2498785.707,1114365.864,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17315570348152,6.1279922515851455
76,P077,2498787.7630000003,1114367.287,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17316881118217,6.128018562355898
77,P078,2498789.819,1114368.709,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17318190988245,6.128044873355538
78,P079,2498792.134,1114370.31,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.1731966574562,6.128074498868451
79,P080,2498794.19,1114371.732,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17320975614348,6.128100809894992
80,P081,2498796.246,1114373.154,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17322285482461,6.128127120934188
81,P082,2498798.3019999997,1114374.577,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17323596249396,6.128153431769826
82,P083,2498800.359,1114375.999,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17324906131307,6.128179755781095
83,P084,2498802.415,1114377.4209999999,420/620,391.91,373.3,18.61,3,392.61,19.31,,46.173262159975884,6.1282060668582625
84,POSS,2498804.471,1114378.8429999999,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17327525863257,6.128232377948084
85,P086,2498806.527,1114380.265,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17328835728314,6.128258689050561
86,P087,2498808.583,1114381.687,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17330145592761,6.128285000165699
87,P088,2498810.639,1114383.11,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17331456356024,6.1283113110773
88,P089,2498812.954,1114384.711,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173329311064265,6.128340936734504
89,P090,2498815.01,1114386.133,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17334240968962,6.128367247889198
90,P091,2498817.066,1114387.555,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17335550830885,6.128393559056552
91,P092,2498819.122,1114388.977,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17336860692197,6.128419870236556
92,P093,2498821.1780000003,1114390.4,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17338171452324,6.128446181213056
93,P094,2498823.234,1114391.822,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17339481312413,6.128472492418373
94,P095,2498825.2909999997,1114393.244,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17340791186908,6.1284988165831304
95,P096,2498827.347,1114394.666,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17342101045774,6.128525127813768
96,P097,2498829.403,1114396.088,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17343410904027,6.128551439057049
97,P098,2498831.4590000003,1114397.51,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.1734472076167,6.128577750312996
98,P099,2498833.515,1114398.933,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17346031518128,6.1286040613654515
99,P100,2498835.571,1114400.355,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173473413745484,6.128630372646706
100,P101,2498778.905,1114358.12,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173085029992606,6.127905862605011
101,P102,2498780.961,1114359.5420000001,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17309812871903,6.127932173537096
102,P103,2498783.017,1114360.9640000002,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17311122743935,6.12795848448183
103,P104,2498785.0730000003,1114362.386,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173124326153555,6.127984795439225
104,P105,2498787.129,1114363.808,420/620,391.91,373.3,18.61,3,392.61,19.31,,46.17313742486164,6.128011106409269
105,P106,2498789.185,1114365.23,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17315052356363,6.128037417391965
106,P107,2498791.241,1114366.653,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17316363125374,6.128063728171093
107,P108,2498793.556,1114368.254,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17317837882253,6.128093353679186
108,P109,2498795.6119999997,1114369.676,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.1731914775054,6.1281196647014475
109,P110,2498797.669,1114371.098,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173204576332346,6.12814598868311
110,P111,2498799.725,1114372.521,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17321768399724,6.128172299514472
111,P112,2498801.781,1114373.943,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17323078266174,6.128198610574704
112,P113,2498803.837,1114375.365,420/620,391.91,373.3,18.61,3,392.61,19.31,,46.17324388132015,6.128224921647591
113,P114,2498805.893,1114376.787,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17325697997243,6.128251232733137
114,P115,2498807.949,1114378.209,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173270078618586,6.128277543831333
115,P116,2498810.005,1114379.631,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17328317725865,6.128303854942184
116,P117,2498812.0609999998,1114381.054,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173296284886845,6.128330165849505
117,P118,2498814.376,1114382.655,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17331103238593,6.128359791501896
118,P119,2498816.432,1114384.077,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173324131006865,6.128386102652308
119,P120,2498818.488,1114385.499,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173337229621694,6.128412413815375
120,P121,2498820.544,1114386.9209999999,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173350328230384,6.128438724991103
121,P122,2498822.601,1114388.344,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17336343597742,6.128465048910093
122,P123,2498824.6569999997,1114389.7659999998,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173376534573904,6.128491360111131
123,P124,2498826.713,1114391.188,420/620,391.91,373.3,18.61,3,392.61,19.31,,46.173389633164255,6.128517671324832
124,P125,2498828.769,1114392.61,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.1734027317485,6.128543982551181
125,P126,2498830.825,1114394.0320000001,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173415830326626,6.1285702937901885
126,P127,2498832.881,1114395.4540000001,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17342892889864,6.128596605041847
127,P128,2498834.937,1114396.877,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173442036458816,6.128622916090026
128,P129,2498836.9930000002,1114398.299,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17345513501861,6.128649227367003
129,P130,2498780.327,1114356.064,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17306675138725,6.127924717433603
130,P131,2498782.383,1114357.486,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17307985010927,6.1279510283614025
131,P132,2498784.4390000002,1114358.908,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17309294882519,6.12797733930186
132,P133,2498786.495,1114360.33,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173106047534965,6.128003650254968
133,P134,2498788.551,1114361.752,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17311914623863,6.12802996122073
134,P135,2498790.607,1114363.174,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173132244936205,6.128056272199148
135,P136,2498792.663,1114364.597,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173145352621916,6.128082582974002
136,P137,2498794.9790000003,1114366.1979999999,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17316010033594,6.128112221424006
137,P138,2498797.035,1114367.62,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.1731731990144,6.1281385324419855
138,P139,2498799.091,1114369.0420000001,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17318629768672,6.128164843472622
139,P140,2498801.147,1114370.4640000002,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17319939635294,6.128191154515914
140,P141,2498803.203,1114371.887,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17321250400731,6.1282174653556645
141,P142,2498805.259,1114373.3090000001,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17322560266128,6.12824377642427
142,P143,2498807.315,1114374.731,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17323870130916,6.1282700875055305
143,P144,2498809.371,1114376.153,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17325179995092,6.128296398599445
144,P145,2498811.4269999997,1114377.575,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17326489858655,6.128322709706014
145,P146,2498813.483,1114378.997,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17327799721608,6.128349020825244
146,P147,2498815.798,1114380.5990000002,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173292753704445,6.1283786462566265
147,P148,2498817.8540000003,1114382.021,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17330585232098,6.128404957402763
148,P149,2498819.911,1114383.443,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173318951081555,6.128431281508311
149,P150,2498821.9669999997,1114384.865,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17333204968586,6.128457592679756
150,P151,2498824.023,1114386.287,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173345148284035,6.128483903863861
151,P152,2498826.079,1114387.71,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173358255870376,6.12851021484446
152,P153,2498828.135,1114389.132,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17337135445631,6.128536526053873
153,P154,2498830.191,1114390.554,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17338445303614,6.128562837275947
154,P155,2498832.247,1114391.976,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17339755160987,6.128589148510667
155,P156,2498834.3030000003,1114393.398,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173410650177466,6.12861545975805
156,P157,2498836.359,1114394.82,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17342374873896,6.128641771018081
157,P158,2498838.415,1114396.243,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17343685628859,6.12866808207464
158,P159,2498781.749,1114354.008,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17304847277877,6.127943572249537
159,P160,2498783.805,1114355.43,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17306157149639,6.12796988317306
160,P161,2498785.861,1114356.852,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173074670207875,6.127996194109231
161,P162,2498787.917,1114358.274,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173087768913256,6.128022505058059
162,P163,2498789.973,1114359.696,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173100867612526,6.128048816019546
163,P164,2498792.03,1114361.118,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17311396645589,6.128075139940393
164,P165,2498794.086,1114362.541,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17312707413718,6.128101450710974
165,P166,2498796.401,1114364.142,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17314182169602,6.128131076209429
166,P167,2498798.457,1114365.564,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173154920370074,6.12815738722313
167,P168,2498800.5130000003,1114366.986,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173168019037995,6.128183698249491
168,P169,2498802.569,1114368.408,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173181117699784,6.1282100092885
169,P170,2498804.625,1114369.831,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173194225349754,6.128236320123968
170,P171,2498806.681,1114371.253,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173207323999314,6.12826263118829
171,P172,2498808.7369999997,1114372.675,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173220422642785,6.12828894226527
172,P173,2498810.793,1114374.097,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173233521280125,6.128315253354909
173,P174,2498812.849,1114375.519,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17324661991135,6.128341564457197
174,P175,2498814.905,1114376.9409999999,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17325971853645,6.12836787557214
175,P176,2498817.221,1114378.543,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173274475170025,6.128397513945462
176,P177,2498819.277,1114379.965,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17328757378215,6.1284238250873155
177,P178,2498821.333,1114381.387,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17330067238815,6.128450136241828
178,P179,2498823.389,1114382.8090000001,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17331377098802,6.12847644740899
179,P180,2498825.445,1114384.231,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17332686958178,6.128502758588808
180,P181,2498827.501,1114385.654,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17333997716373,6.128529069565137
181,P182,2498829.557,1114387.076,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17335307574524,6.128555380770267
182,P183,2498831.613,1114388.498,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17336617432066,6.128581691988051
183,P184,2498833.669,1114389.92,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17337927288996,6.128608003218499
184,P185,2498835.725,1114391.342,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17339237145316,6.128634314461594
185,P186,2498837.781,1114392.764,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173405470010245,6.128660625717344
186,P187,2498839.837,1114394.187,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173418577555466,6.128686936769622
187,P188,2498783.417,1114352.0,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173030662847026,6.127965601560703
188,P189,2498786.296,1114353.991,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17304900293175,6.128002444577343
189,P190,2498789.174,1114355.982,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17306734285427,6.128039274672083
190,P191,2498791.642,1114357.689,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17308306680465,6.12807085804803
191,P192,2498795.565,1114360.402,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173108057535885,6.128121061397335
192,P193,2498797.81,1114361.955,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17312236285031,6.128149790998557
193,P194,2498800.688,1114363.946,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17314070272488,6.128186621192515
194,P195,2498803.567,1114365.937,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17315904273765,6.128223464357999
195,P196,2498806.445,1114367.928,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17317738258827,6.128260294601565
196,P197,2498809.324,1114369.919,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17319572257708,6.128297137816674
197,P198,2498812.202,1114371.91,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17321406240372,6.128333968109847
198,P199,2498815.081,1114373.902,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17323241136283,6.128370811158393
199,P200,2498818.7,1114376.405,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.1732554675114,6.128417124365531
200,P201,2498821.784,1114378.538,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17327511542038,6.128456591076379
201,P202,2498824.8680000002,1114380.6709999999,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17329476331562,6.128496057815707
202,P203,2498827.171,1114382.264,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173309437015064,6.128525529880245
203,P204,2498829.473,1114383.857,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.1733241105567,6.1285549890139
204,P205,2498832.352,1114385.848,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17334245044961,6.128591832427478
205,P206,2498835.23,1114387.8390000002,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.173360790180354,6.128628662919094
206,P207,2498788.452,1114350.874,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.1730212916423,6.128031031657796
207,P208,2498791.33,1114352.865,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.17303963155544,6.128067861743454
208,P209,2498794.2090000003,1114354.856,420/620,393.01,373.3,19.71,1,393.71,20.41,,46.1730579716068,6.128104704800623
209,P210,2498797.087,1114356.847,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17307631149598,6.128141534935883
210,P211,2498799.966,1114358.838,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17309465152338,6.128178378042666
211,P212,2498802.844,1114360.8290000001,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.1731129913886,6.128215208227544
212,P213,2498805.723,1114362.82,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17313133139202,6.128252051383945
213,P214,2498808.601,1114364.811,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17314967123326,6.128288881618421
214,P215,2498811.48,1114366.8020000001,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17316801121271,6.128325724824441
215,P216,2498814.358,1114368.793,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17318635103,6.128362555108534
216,P217,2498817.2369999997,1114370.784,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.173204690985436,6.128399398364163
217,P218,2498820.115,1114372.775,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17322303077876,6.12843622869787
218,P219,2498822.994,1114374.7659999998,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.173241370710244,6.128473072003118
219,P220,2498825.872,1114376.757,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17325971047959,6.128509902386426
220,P221,2498828.751,1114378.749,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17327805938138,6.128546745525153
221,P222,2498831.629,1114380.74,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17329639912674,6.128583575958075
222,P223,2498834.508,1114382.731,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.17331473901028,6.128620419362564
223,P224,2498837.386,1114384.722,420/620,393.21,373.3,19.91,2,393.91,20.61,,46.1733330787317,6.128657249845097
224,P225,2498790.831,1114346.732,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.172984394710696,6.128062727451741
