,NR_Pieu,y Coordonnees,x Coordonnees,"Diametre de
forage (mm/mm)","Niveau
Recepage (msm)","Niveau
Fondpieu (msm)","Longueur
beton (m)",CageType,"NiveauArm
Sup (msm)","Longueur
cages (m)",Unnamed: 10,latitude_WGS84,longitude_WGS84
225,P226,2498792.887,1114348.154,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.17299749340048,6.128089038373029
226,P227,2498794.943,1114349.576,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.17301059208413,6.128115349306967
227,P228,2498796.999,1114350.998,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.17302369076169,6.128141660253558
228,P229,2498799.055,1114352.42,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.17303678943312,6.128167971212807
229,P230,2498810.651,1114360.4409999999,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.1731106741243,6.128316367132502
230,P231,2498812.707,1114361.864,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.1731237817494,6.128342677959598
231,P232,2498814.7630000003,1114363.2859999998,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.17313688037413,6.128368989015538
232,P233,2498816.819,1114364.7079999999,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.17314997899273,6.128395300084129
233,P234,2498818.876,1114366.13,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.1731630777554,6.128421624112105
234,P235,2498820.932,1114367.5520000001,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.173176176361764,6.128447935206008
235,P236,2498832.528,1114375.5729999999,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.17325006068595,6.128596331885214
236,P237,2498834.5840000003,1114376.995,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.17326315925173,6.128622643063156
237,P238,2498836.64,1114378.418,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.17327626680567,6.1286489540376134
238,P239,2498838.696,1114379.84,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.17328936535921,6.128675265240862
239,P240,2498840.752,1114381.262,420/620,395.78,373.3,22.48,4,396.48,23.18,,46.173302463906644,6.1287015764567645
240,PG1-1,2498833.494,1114371.507,520/720,396.18,364.3,31.88,G,396.53,32.23,,46.17321363500212,6.128609717256499
241,PG1-2,2498837.195,1114374.067,520/720,396.18,364.3,31.88,G,396.53,32.23,,46.173237216038174,6.1286570798629505
242,PG1-3,2498839.755,1114370.366,520/720,396.18,364.3,31.88,G,396.53,32.23,,46.1732043125813,6.128691023408862
243,PG1-4,2498836.054,1114367.8059999999,520/720,396.18,364.3,31.88,G,396.53,32.23,,46.173180731559555,6.128643660816278
244,PG2-1,2498792.548,1114343.186,520/720,396.18,364.3,31.88,G,396.53,32.23,,46.17295275892078,6.128085723634112
245,PG2-2,2498796.249,1114345.746,520/720,396.18,364.3,31.88,G,396.53,32.23,,46.172976340176014,6.128133085786871
246,PG2-3,2498798.809,1114342.045,520/720,396.18,364.3,31.88,G,396.53,32.23,,46.17294343687734,6.1281670294862405
247,PG2-4,2498795.108,1114339.485,520/720,396.18,364.3,31.88,G,396.53,32.23,,46.17291985563639,6.1281196673473515
