;;;Temps;Profondeur (m);Surconsommation (%);Pression béton (bar);Vitesse d'avancement (m/h);Couple de rotation (bar);Vitesse de rotation (rev/min)
;;;00:01:29;2,14;449,6;1,1;350;121,2;11,0
;;;00:01:29;2,17;449,6;1,1;190;121,2;11,0
;;;00:01:30;2,19;449,6;1,1;207;132,6;11,0
;;;00:01:31;2,23;449,6;1,1;74;140,3;10,9
;;;00:01:32;2,27;449,6;1,1;397;147,4;11,0
;;;00:01:32;2,30;449,6;1,1;290;148,2;11,0
;;;00:01:33;2,34;449,6;1,1;203;154,9;11,0
;;;00:01:33;2,36;449,6;1,1;321;159,0;11,0
;;;00:01:34;2,39;449,6;1,1;134;162,3;11,0
;;;00:01:34;2,42;449,6;1,1;223;163,4;11,0
;;;00:01:35;2,45;449,6;1,1;199;169,4;10,9
;;;00:01:36;2,47;449,6;1,1;158;170,9;10,9
;;;00:01:36;2,49;449,6;1,1;267;174,2;11,0
;;;00:01:36;2,52;449,6;1,1;299;174,2;11,0
;;;00:01:37;2,54;449,6;1,1;147;176,8;11,0
;;;00:01:38;2,57;449,6;1,1;164;177,9;11,0
;;;00:01:38;2,59;449,6;1,1;487;181,7;11,0
;;;00:01:38;2,61;449,6;1,1;227;181,7;11,0
;;;00:01:39;2,63;449,6;1,1;201;183,0;11,0
;;;00:01:39;2,65;449,6;1,1;235;186,0;11,0
;;;00:01:39;2,67;449,6;1,1;215;186,0;11,0
;;;00:01:40;2,70;449,6;1,1;332;188,7;11,0
;;;00:01:40;2,72;449,6;1,1;184;189,3;11,0
;;;00:01:41;2,74;449,6;1,1;214;189,3;11,0
;;;00:01:41;2,76;449,6;1,1;152;189,3;11,0
;;;00:01:42;2,80;449,6;1,1;265;190,1;11,0
;;;00:01:42;2,82;449,6;1,1;143;191,4;11,0
;;;00:01:43;2,84;449,6;1,1;251;191,8;11,1
;;;00:01:43;2,86;449,6;1,1;211;193,6;12,0
;;;00:01:43;2,89;449,6;1,1;209;193,6;12,0
;;;00:01:44;2,91;449,6;1,1;259;197,9;11,3
;;;00:01:44;2,93;449,6;1,1;243;200,1;11,0
;;;00:01:45;2,95;449,6;1,1;236;201,0;11,0
;;;00:01:45;2,98;449,6;1,1;260;203,3;11,0
;;;00:01:45;3,00;449,6;1,1;257;203,3;11,0
;;;00:01:46;3,02;449,6;1,1;227;208,7;11,0
;;;00:01:46;3,04;449,6;1,1;195;209,8;11,0
;;;00:01:47;3,07;449,6;1,1;254;212,3;11,0
;;;00:01:47;3,09;449,6;1,1;276;217,4;11,0
;;;00:01:47;3,11;449,6;1,1;302;217,4;11,0
;;;00:01:48;3,14;449,6;1,1;300;220,2;11,0
;;;00:01:48;3,16;449,6;1,1;203;221,7;10,9
;;;00:01:49;3,19;449,6;1,1;191;223,3;10,9
;;;00:01:49;3,21;449,6;1,1;211;226,0;10,9
;;;00:01:50;3,24;449,6;1,1;268;226,0;10,9
;;;00:01:50;3,26;449,6;1,1;250;229,7;11,0
;;;00:01:50;3,28;449,6;1,1;219;230,3;11,0
;;;00:01:51;3,30;449,6;1,1;222;230,9;11,0
;;;00:01:51;3,33;449,6;1,1;251;231,4;11,0
;;;00:01:52;3,35;449,6;1,1;235;231,4;11,0
;;;00:01:52;3,37;449,6;1,1;250;229,2;11,0
;;;00:01:52;3,39;449,6;1,1;251;229,2;11,0
;;;00:01:53;3,42;449,6;1,1;215;228,0;11,0
;;;00:01:53;3,44;449,6;1,1;300;227,1;11,0
;;;00:01:54;3,46;449,6;1,1;235;226,2;11,0
;;;00:01:54;3,48;449,6;1,1;195;221,7;11,0
;;;00:01:54;3,50;449,6;1,1;268;221,7;11,0
;;;00:01:55;3,52;449,6;1,1;263;218,4;11,0
;;;00:01:55;3,55;449,6;1,1;207;216,3;11,0
;;;00:01:56;3,57;449,6;1,1;178;213,0;11,0
;;;00:01:56;3,59;449,6;1,1;247;207,6;11,0
;;;00:01:56;3,61;449,6;1,1;290;207,6;11,0
;;;00:01:57;3,63;449,6;1,1;203;201,3;11,0
;;;00:01:57;3,65;449,6;1,1;201;200,1;11,0
;;;00:01:58;3,67;449,6;1,1;235;196,8;11,0
;;;00:01:58;3,70;449,6;1,1;195;190,4;11,0
;;;00:01:59;3,72;449,6;1,1;267;190,4;11,0
;;;00:01:59;3,74;449,6;1,1;235;176,3;12,0
;;;00:01:59;3,76;449,6;1,1;188;176,3;12,0
;;;00:02:00;3,78;449,6;1,1;268;172,5;12,0
;;;00:02:00;3,80;449,6;1,1;195;168,8;12,0
;;;00:02:01;3,82;449,6;1,1;209;168,8;12,0
;;;00:02:01;3,84;449,6;1,1;219;156,9;12,0
;;;00:02:01;3,86;449,6;1,1;236;156,9;12,0
;;;00:02:02;3,89;449,6;1,1;268;146,8;12,0
;;;00:02:02;3,91;449,6;1,1;324;141,8;12,0
;;;00:02:03;3,93;449,6;1,1;195;141,3;12,0
;;;00:02:03;3,95;449,6;1,1;331;138,5;12,0
;;;00:02:03;3,97;449,6;1,1;243;138,5;12,0
;;;00:02:04;4,00;449,6;1,1;242;135,3;11,9
;;;00:02:04;4,02;449,6;1,1;215;128,8;11,9
;;;00:02:05;4,04;449,6;1,1;308;128,8;11,9
