Synthèse;;;;;;;;;;;
ID;Chantier;Contrat;Nom / numéro pieu;Diamètre;Date début;Fin pieu;Durée totale;Longueur pieu;Volume béton;Surconsommation;Coups
;;;; mm;;;; m; m3; %;
133;GOLDEN GLOVER;60159;P237;460;04.03.2021 09:08;04.03.2021 09:33;00:24:39;26.03;5.148;18;143
134;GOLDEN GLOVER;60159;P240;460;04.03.2021 08:29;04.03.2021 09:06;00:37:40;26.05;5.148;16;143
135;GOLDEN GLOVER;60159;P238;460;03.03.2021 15:46;03.03.2021 16:31;00:45:26;26.03;6.624;53;184
136;GOLDEN GLOVER;60159;P233;460;03.03.2021 15:03;03.03.2021 15:43;00:40:03;26.04;5.076;17;141
137;GOLDEN GLOVER;60159;P197;460;03.03.2021 14:40;03.03.2021 14:58;00:18:01;26.04;4.896;13;136
138;GOLDEN GLOVER;60159;P230;460;03.03.2021 14:08;03.03.2021 14:39;00:31:06;26.03;4.932;12;137
139;GOLDEN GLOVER;60159;P195;460;03.03.2021 13:41;03.03.2021 14:05;00:24:37;26.05;5.148;19;143
140;GOLDEN GLOVER;60159;P193;460;03.03.2021 12:08;03.03.2021 13:40;01:32:45;26.03;5.004;16;139
141;GOLDEN GLOVER;60159;P191.1;460;03.03.2021 11:39;03.03.2021 12:03;00:23:58;26.1;5.076;15;141
142;GOLDEN GLOVER;60159;P227;460;03.03.2021 11:08;03.03.2021 11:31;00:23:28;26.03;5.544;28;154
143;GOLDEN GLOVER;60159;P160;460;03.03.2021 10:36;03.03.2021 11:08;00:32:13;26.03;5.004;16;139
144;GOLDEN GLOVER;60159;P102;460;03.03.2021 10:00;03.03.2021 10:31;00:30:46;26.02;4.824;12;134
145;GOLDEN GLOVER;60159;P45;460;03.03.2021 09:31;03.03.2021 09:59;00:27:57;26.03;5.04;16;140
146;GOLDEN GLOVER;60159;P26;460;03.03.2021 09:03;03.03.2021 09:30;00:26:52;26.03;5.04;15;140
147;GOLDEN GLOVER;60159;P28;460;03.03.2021 08:11;03.03.2021 09:01;00:49:50;26.02;5.04;17;140
148;GOLDEN GLOVER;60159;P234;460;02.03.2021 16:15;02.03.2021 16:36;00:21:17;26.02;5.004;16;139
149;GOLDEN GLOVER;60159;P231;460;02.03.2021 15:45;02.03.2021 16:11;00:25:47;26.01;4.86;13;135
150;GOLDEN GLOVER;60159;P211;460;02.03.2021 15:06;02.03.2021 15:42;00:35:57;26.03;4.968;14;138
151;GOLDEN GLOVER;60159;P228;460;02.03.2021 14:35;02.03.2021 14:56;00:20:58;26.03;5.256;22;146
152;GOLDEN GLOVER;60159;P209.1;460;02.03.2021 14:12;02.03.2021 14:31;00:19:18;26.05;4.968;15;138
153;GOLDEN GLOVER;60159;P209;460;02.03.2021 13:48;02.03.2021 14:11;00:23:26;26.02;0.792;-91;22
154;GOLDEN GLOVER;60159;P207;460;02.03.2021 13:19;02.03.2021 13:48;00:28:57;26.02;4.932;12;137
155;GOLDEN GLOVER;60159;P225;460;02.03.2021 11:44;02.03.2021 12:07;00:22:47;26.02;5.112;12;142
156;GOLDEN GLOVER;60159;P144;460;02.03.2021 11:02;02.03.2021 11:41;00:38:31;26.03;5.184;17;144
157;GOLDEN GLOVER;60159;P141;460;02.03.2021 10:37;02.03.2021 10:57;00:20:05;26.04;5.076;15;141
158;GOLDEN GLOVER;60159;P138;460;02.03.2021 10:13;02.03.2021 10:36;00:23:00;26.04;5.256;18;146
159;GOLDEN GLOVER;60159;P135;460;02.03.2021 09:46;02.03.2021 10:13;00:27:38;26.03;5.256;20;146
160;GOLDEN GLOVER;60159;P132;460;02.03.2021 09:19;02.03.2021 09:42;00:23:20;26.03;5.22;18;145
161;GOLDEN GLOVER;60159;P188;460;02.03.2021 08:48;02.03.2021 09:08;00:19:55;26.02;4.968;15;138
162;GOLDEN GLOVER;60159;P236;460;01.03.2021 16:08;01.03.2021 16:34;00:25:11;26.01;4.968;15;138
163;GOLDEN GLOVER;60159;P239;460;01.03.2021 15:34;01.03.2021 16:08;00:34:36;26.04;5.508;25;153
164;GOLDEN GLOVER;60159;P114;460;01.03.2021 14:52;01.03.2021 15:13;00:20:25;26.01;4.896;14;136
165;GOLDEN GLOVER;60159;P83;460;01.03.2021 14:08;01.03.2021 14:52;00:43:45;26.04;5.04;15;140
166;GOLDEN GLOVER;60159;P169;460;01.03.2021 13:43;01.03.2021 14:06;00:22:38;26.61;5.256;17;146
167;GOLDEN GLOVER;60159;P80;460;01.03.2021 12:07;01.03.2021 13:39;01:31:45;26.03;5.076;15;141
168;GOLDEN GLOVER;60159;P166;460;01.03.2021 11:44;01.03.2021 12:03;00:18:48;26.06;5.112;16;142
169;GOLDEN GLOVER;60159;P77;460;01.03.2021 11:09;01.03.2021 11:44;00:35:02;26.02;5.148;17;143
170;GOLDEN GLOVER;60159;P163;460;01.03.2021 10:39;01.03.2021 11:05;00:26:45;26.03;5.076;14;141
171;GOLDEN GLOVER;60159;P74-1;460;01.03.2021 10:16;01.03.2021 10:36;00:20:20;26.17;5.004;13;139
