;;;Temps;Profondeur (m);Surconsommation (%);Pression béton (bar);Vitesse d'avancement (m/h);Couple de rotation (bar);Vitesse de rotation (rev/min)
Chantier;GOLDEN GLOVER;;00:00:00;0,00;337,7;1,2;0;2,4;0,0
Contrat;60159;;00:00:00;0,00;337,7;1,2;0;2,4;0,0
Nom;P183;;00:00:00;0,00;337,7;1,2;0;2,4;0,0
Date début;17/02/2021 08:17:36;;00:00:00;0,00;337,7;1,2;0;2,4;0,0
Début bétonnage;17/02/2021 08:32:30;;00:00:00;0,00;337,7;1,2;0;3,2;0,0
Fin pieu;17/02/2021 08:50:13;;00:00:10;0,00;337,7;1,2;0;3,8;0,9
Diamètre pieu (mm);460;;00:00:18;0,02;337,7;1,2;8;40,3;7,3
Longueur pieu (m);26,12;;00:00:18;0,04;337,7;1,2;268;66,2;12,0
Volume béton (m3);5,256;;00:00:18;0,07;337,7;1,2;268;66,2;12,0
Surconsommation (%);22;;00:00:19;0,09;337,7;1,2;209;65,2;12,0
;;;00:00:19;0,11;337,7;1,2;195;64,0;12,0
;;;00:00:20;0,13;337,7;1,2;170;64,3;12,0
;;;00:00:20;0,15;337,7;1,2;195;66,2;12,0
;;;00:00:21;0,17;337,7;1,2;180;66,6;12,0
;;;00:00:31;0,18;337,7;1,2;3;61,4;12,0
;;;00:00:36;0,20;337,7;1,2;16;56,7;12,0
;;;00:00:36;0,23;337,7;1,2;213;55,4;12,0
;;;00:00:37;0,25;337,7;1,2;250;55,4;12,0
;;;00:00:37;0,27;337,7;1,2;243;59,0;12,0
;;;00:00:38;0,29;337,7;1,2;164;59,7;12,0
;;;00:00:38;0,31;337,7;1,2;284;63,5;12,0
;;;00:00:39;0,33;337,7;1,2;159;67,2;11,9
;;;00:00:39;0,35;337,7;1,2;191;68,9;12,0
;;;00:00:39;0,38;337,7;1,2;265;69,4;12,0
;;;00:00:45;0,40;337,7;1,2;22;63,3;12,0
;;;00:00:46;0,42;337,7;1,2;219;56,4;12,0
;;;00:00:46;0,44;337,7;1,2;243;59,2;12,0
;;;00:00:46;0,47;337,7;1,2;341;59,7;12,0
;;;00:00:47;0,49;337,7;1,2;248;62,5;12,0
;;;00:00:47;0,52;337,7;1,2;189;66,2;12,0
;;;00:00:48;0,54;337,7;1,2;246;66,2;12,0
;;;00:00:48;0,56;337,7;1,2;149;70,5;12,0
;;;00:00:49;0,58;337,7;1,2;251;70,5;12,0
;;;00:00:49;0,61;337,7;1,2;276;74,3;12,0
;;;00:00:49;0,63;337,7;1,2;257;78,0;12,0
;;;00:00:50;0,66;337,7;1,2;207;78,6;12,0
;;;00:00:50;0,68;337,7;1,2;292;81,3;12,0
;;;00:00:50;0,70;337,7;1,2;251;81,3;12,0
;;;00:00:51;0,72;337,7;1,2;243;81,7;12,0
;;;00:00:58;0,75;337,7;1,2;18;74,1;12,0
;;;00:00:58;0,77;337,7;1,2;146;63,2;12,0
;;;00:00:59;0,79;337,7;1,2;236;62,9;12,0
;;;00:00:59;0,81;337,7;1,2;341;65,6;12,0
;;;00:00:59;0,84;337,7;1,2;236;68,3;12,0
;;;00:01:00;0,86;337,7;1,2;276;68,3;12,0
;;;00:01:00;0,88;337,7;1,2;454;71,2;12,0
;;;00:01:00;0,90;337,7;1,2;272;72,6;12,0
;;;00:01:01;0,94;337,7;1,2;254;74,2;12,0
;;;00:01:01;0,96;337,7;1,2;219;78,0;12,0
;;;00:01:02;0,98;337,7;1,2;264;78,0;12,0
;;;00:01:02;1,01;337,7;1,2;168;87,9;11,2
;;;00:01:03;1,03;337,7;1,2;150;89,9;11,0
;;;00:01:03;1,05;337,7;1,2;219;93,7;11,0
;;;00:01:03;1,07;337,7;1,2;195;97,5;11,0
;;;00:01:04;1,10;337,7;1,2;267;98,9;11,1
;;;00:01:04;1,12;337,7;1,2;178;106,1;12,0
;;;00:01:05;1,14;337,7;1,2;222;106,1;12,0
;;;00:01:05;1,16;337,7;1,2;235;112,6;11,3
;;;00:01:05;1,18;337,7;1,2;181;115,8;11,0
;;;00:01:06;1,20;337,7;1,2;243;117,1;11,0
;;;00:01:06;1,22;337,7;1,2;187;123,4;11,0
;;;00:01:07;1,25;337,7;1,2;229;123,4;11,0
;;;00:01:07;1,27;337,7;1,2;209;122,5;11,0
;;;00:01:08;1,29;337,7;1,2;302;122,3;11,0
;;;00:01:08;1,32;337,7;1,2;164;122,9;11,5
;;;00:01:08;1,34;337,7;1,2;195;123,4;12,0
;;;00:01:09;1,36;337,7;1,2;189;124,2;11,7
;;;00:01:19;1,36;337,7;1,2;5;99,4;11,9
;;;00:01:29;1,36;337,7;1,2;0;71,7;12,0
;;;00:01:39;1,36;337,7;1,2;0;64,0;12,0
;;;00:01:49;1,36;337,7;1,2;0;59,3;12,0
;;;00:01:59;1,36;337,7;1,2;0;56,5;12,0
;;;00:02:09;1,36;337,7;1,2;0;55,2;12,0
;;;00:02:13;1,39;337,7;1,2;14;54,5;12,0
;;;00:02:14;1,41;337,7;1,2;146;54,3;12,0
;;;00:02:14;1,43;337,7;1,2;195;56,4;12,0
;;;00:02:14;1,45;337,7;1,2;195;60,8;12,0
;;;00:02:15;1,47;337,7;1,2;181;60,8;12,0
;;;00:02:15;1,49;337,7;1,2;170;72,1;11,1
;;;00:02:16;1,51;337,7;1,2;243;73,7;11,0
;;;00:02:16;1,53;337,7;1,2;195;81,1;11,6
;;;00:02:17;1,55;337,7;1,2;211;85,6;12,0
;;;00:02:17;1,57;337,7;1,2;184;89,8;11,4
;;;00:02:18;1,59;337,7;1,2;195;93,2;11,0
;;;00:02:18;1,61;337,7;1,2;176;97,9;11,6
;;;00:02:19;1,64;337,7;1,2;213;100,7;12,0
;;;00:02:19;1,66;337,7;1,2;170;102,1;12,0
;;;00:02:20;1,68;337,7;1,2;164;102,9;12,0
;;;00:02:20;1,70;337,7;1,2;173;103,7;12,0
;;;00:02:21;1,72;337,7;1,2;159;104,3;12,0
;;;00:02:21;1,75;337,7;1,2;232;107,2;12,0
;;;00:02:22;1,77;337,7;1,2;158;107,2;12,0
;;;00:02:23;1,79;337,7;1,2;129;105,3;11,9
;;;00:02:33;1,81;337,7;1,2;12;88,3;11,9
;;;00:02:40;1,84;337,7;1,2;9;83,2;12,0
;;;00:02:41;1,86;337,7;1,2;235;83,4;12,0
;;;00:02:41;1,88;337,7;1,2;257;86,5;12,0
;;;00:02:42;1,90;337,7;1,2;235;88,8;12,0
;;;00:02:42;1,93;337,7;1,2;249;91,3;11,7
;;;00:02:43;1,95;337,7;1,2;189;98,6;11,0
;;;00:02:43;1,97;337,7;1,2;231;101,4;11,0
;;;00:02:44;2,00;337,7;1,2;201;106,1;11,0
;;;00:02:44;2,02;337,7;1,2;201;109,4;11,0
;;;00:02:45;2,04;337,7;1,2;170;114,8;10,9
;;;00:02:45;2,06;337,7;1,2;282;114,8;10,9
;;;00:02:45;2,08;337,7;1,2;207;118,0;12,0
;;;00:02:46;2,11;337,7;1,2;211;118,0;12,0
;;;00:02:46;2,13;337,7;1,2;231;123,7;11,1
;;;00:02:47;2,15;337,7;1,2;194;124,5;11,0
;;;00:02:47;2,18;337,7;1,2;182;121,6;11,9
;;;00:02:48;2,20;337,7;1,2;218;121,2;12,0
;;;00:02:48;2,23;337,7;1,2;213;127,9;11,1
;;;00:02:49;2,25;337,7;1,2;224;128,8;11,0
;;;00:02:49;2,27;337,7;1,2;195;134,2;12,0
;;;00:02:50;2,29;337,7;1,2;290;134,2;12,0
;;;00:02:50;2,31;337,7;1,2;219;134,7;12,0
;;;00:02:51;2,34;337,7;1,2;209;135,3;11,9
;;;00:02:51;2,36;337,7;1,2;227;135,3;11,9
;;;00:02:51;2,38;337,7;1,2;260;141,8;11,0
;;;00:02:52;2,40;337,7;1,2;272;141,8;11,0
;;;00:02:52;2,43;337,7;1,2;248;141,8;11,0
;;;00:02:53;2,45;337,7;1,2;369;141,8;11,0
;;;00:02:53;2,47;337,7;1,2;195;141,8;11,0
;;;00:03:03;2,48;337,7;1,2;5;145,3;11,8
;;;00:03:06;2,50;337,7;1,2;22;147,8;11,3
;;;00:03:07;2,53;337,7;1,2;251;147,2;10,9
;;;00:03:07;2,55;337,7;1,2;236;146,5;11,1
;;;00:03:07;2,57;337,7;1,2;389;142,8;12,0
;;;00:03:08;2,60;337,7;1,2;260;142,8;12,0
;;;00:03:08;2,62;337,7;1,2;219;142,7;11,9
;;;00:03:09;2,65;337,7;1,2;205;141,8;11,0
;;;00:03:09;2,67;337,7;1,2;292;141,8;11,0
;;;00:03:09;2,69;337,7;1,2;243;146,6;11,0
;;;00:03:10;2,72;337,7;1,2;260;151,5;11,0
;;;00:03:10;2,74;337,7;1,2;227;152,7;11,0
;;;00:03:10;2,76;337,7;1,2;341;155,8;11,0
;;;00:03:11;2,79;337,7;1,2;250;155,8;11,0
;;;00:03:11;2,81;337,7;1,2;243;158,7;11,0
;;;00:03:12;2,83;337,7;1,2;243;160,1;11,0
;;;00:03:12;2,85;337,7;1,2;341;160,1;11,0
;;;00:03:12;2,87;337,7;1,2;243;171,2;11,0
;;;00:03:13;2,90;337,7;1,2;284;173,1;11,0
;;;00:03:13;2,92;337,7;1,2;260;175,2;11,0
;;;00:03:14;2,95;337,7;1,2;229;179,6;11,0
;;;00:03:14;2,97;337,7;1,2;268;179,6;11,0
;;;00:03:14;2,99;337,7;1,2;292;182,8;12,0
;;;00:03:15;3,01;337,7;1,2;219;182,8;12,0
;;;00:03:15;3,04;337,7;1,2;318;182,8;12,0
;;;00:03:15;3,06;337,7;1,2;220;193,6;11,0
;;;00:03:16;3,08;337,7;1,2;268;193,6;11,0
;;;00:03:16;3,11;337,7;1,2;284;196,8;11,0
;;;00:03:17;3,13;337,7;1,2;197;200,1;11,0
;;;00:03:17;3,15;337,7;1,2;267;200,4;11,0
;;;00:03:18;3,18;337,7;1,2;222;202,2;11,0
;;;00:03:18;3,20;337,7;1,2;284;202,2;11,0
;;;00:03:18;3,22;337,7;1,2;235;200,8;10,9
;;;00:03:19;3,25;337,7;1,2;194;200,1;10,9
;;;00:03:19;3,27;337,7;1,2;227;201,0;11,0
;;;00:03:20;3,29;337,7;1,2;222;205,5;11,0
;;;00:03:20;3,31;337,7;1,2;235;205,5;11,0
;;;00:03:20;3,34;337,7;1,2;243;207,3;11,0
;;;00:03:21;3,36;337,7;1,2;243;207,6;11,0
;;;00:03:21;3,39;337,7;1,2;332;205,5;11,0
;;;00:03:22;3,42;337,7;1,2;272;201,2;11,0
;;;00:03:22;3,44;337,7;1,2;188;200,7;11,0
;;;00:03:23;3,46;337,7;1,2;195;197,9;11,0
;;;00:03:23;3,48;337,7;1,2;389;197,9;11,0
;;;00:03:23;3,51;337,7;1,2;170;194,7;11,0
;;;00:03:24;3,53;337,7;1,2;208;193,6;11,0
;;;00:03:24;3,55;337,7;1,2;218;192,1;11,0
;;;00:03:25;3,58;337,7;1,2;292;188,2;11,0
;;;00:03:25;3,60;337,7;1,2;251;188,2;11,0
;;;00:03:25;3,63;337,7;1,2;243;182,0;11,7
;;;00:03:26;3,65;337,7;1,2;274;179,6;12,0
;;;00:03:26;3,67;337,7;1,2;268;178,8;11,6
;;;00:03:27;3,70;337,7;1,2;257;177,4;11,0
;;;00:03:27;3,72;337,7;1,2;211;177,4;11,0
;;;00:03:27;3,74;337,7;1,2;272;173,9;11,0
;;;00:03:28;3,77;337,7;1,2;332;173,1;11,0
;;;00:03:28;3,79;337,7;1,2;218;171,5;11,1
;;;00:03:29;3,81;337,7;1,2;276;162,3;11,9
;;;00:03:29;3,84;337,7;1,2;346;162,3;11,9
;;;00:03:29;3,86;337,7;1,2;269;158,4;11,3
;;;00:03:30;3,89;337,7;1,2;192;155,8;10,9
;;;00:03:40;3,89;337,7;1,2;6;137,9;11,7
;;;00:03:45;3,91;337,7;1,2;9;124,2;11,8
;;;00:03:46;3,94;337,7;1,2;158;126,4;12,0
;;;00:03:46;3,96;337,7;1,2;182;126,6;12,0
;;;00:03:47;3,98;337,7;1,2;170;126,6;11,2
;;;00:03:47;4,00;337,7;1,2;121;126,8;11,0
;;;00:03:48;4,02;337,7;1,2;133;127,7;11,0
;;;00:03:48;4,04;337,7;1,2;222;129,0;11,3
;;;00:03:49;4,06;337,7;1,2;146;132,0;12,0
;;;00:03:50;4,08;337,7;1,2;136;132,8;12,0
;;;00:03:50;4,11;337,7;1,2;195;133,1;12,0
;;;00:03:51;4,13;337,7;1,2;195;130,3;11,9
;;;00:03:51;4,15;337,7;1,2;209;129,9;11,9
;;;00:03:52;4,17;337,7;1,2;156;128,2;12,0
;;;00:03:52;4,19;337,7;1,2;158;127,7;12,0
;;;00:03:53;4,21;337,7;1,2;163;129,9;10,9
;;;00:03:53;4,23;337,7;1,2;151;128,7;11,2
;;;00:03:54;4,25;337,7;1,2;182;124,5;12,0
;;;00:03:54;4,27;337,7;1,2;195;124,2;12,0
;;;00:03:55;4,30;337,7;1,2;201;123,4;12,0
;;;00:04:05;4,30;337,7;1,2;4;112,6;11,9
;;;00:04:15;4,30;337,7;1,2;0;111,5;12,0
;;;00:04:25;4,30;337,7;1,2;0;112,7;12,0
;;;00:04:35;4,30;337,7;1,2;0;114,4;12,0
;;;00:04:45;4,30;337,7;1,2;0;114,9;12,0
;;;00:04:55;4,30;337,7;1,2;0;114,8;11,9
;;;00:05:05;4,30;337,7;1,2;0;112,8;12,0
;;;00:05:15;4,30;337,7;1,2;0;145,3;15,7
;;;00:05:25;4,30;337,7;1,2;0;103,9;12,0
;;;00:05:35;4,30;337,7;1,2;0;77,2;9,8
;;;00:05:45;4,30;337,7;1,2;0;26,5;2,3
;;;00:05:55;4,30;337,7;1,2;0;30,4;4,1
;;;00:06:05;4,30;337,7;1,2;0;-15,0;0,0
;;;00:06:16;4,30;337,7;1,2;0;-8,8;0,0
;;;00:06:26;4,30;337,7;1,2;0;-5,9;0,0
;;;00:06:36;4,30;337,7;1,2;0;-4,1;0,0
;;;00:06:46;4,30;337,7;1,2;0;-3,2;0,0
;;;00:06:56;4,30;337,7;1,2;0;-3,0;0,0
;;;00:07:06;4,30;337,7;1,2;0;-2,4;0,0
;;;00:07:16;4,30;337,7;1,2;0;-1,9;0,0
;;;00:07:26;4,30;337,7;1,2;0;-1,6;0,0
;;;00:07:36;4,30;337,7;1,2;0;85,4;8,2
;;;00:07:41;4,32;337,7;1,2;14;100,6;12,0
;;;00:07:41;4,34;337,7;1,2;123;99,6;12,0
;;;00:07:42;4,36;337,7;1,2;102;101,6;12,0
;;;00:07:43;4,38;337,7;1,2;85;105,4;12,0
;;;00:07:43;4,40;337,7;1,2;130;107,2;11,9
;;;00:07:44;4,42;337,7;1,2;115;109,6;11,2
;;;00:07:45;4,44;337,7;1,2;128;109,0;11,3
;;;00:07:45;4,47;337,7;1,2;122;105,0;12,0
;;;00:07:46;4,49;337,7;1,2;141;103,2;11,4
;;;00:07:46;4,51;337,7;1,2;201;101,8;11,0
;;;00:07:47;4,53;337,7;1,2;195;97,8;11,6
;;;00:07:48;4,55;337,7;1,2;176;95,3;12,0
;;;00:07:48;4,57;337,7;1,2;195;93,3;12,0
;;;00:07:49;4,59;337,7;1,2;162;92,1;12,0
;;;00:07:49;4,62;337,7;1,2;234;86,5;12,0
;;;00:07:49;4,64;337,7;1,2;217;85,6;12,0
;;;00:07:50;4,66;337,7;1,2;181;84,4;12,0
;;;00:07:50;4,69;337,7;1,2;215;81,3;12,0
;;;00:07:51;4,71;337,7;1,2;330;81,3;12,0
;;;00:07:51;4,73;337,7;1,2;192;80,2;12,0
;;;00:07:52;4,76;337,7;1,2;209;80,2;12,0
;;;00:07:52;4,78;337,7;1,2;341;79,7;12,0
;;;00:07:52;4,80;337,7;1,2;257;79,1;12,0
;;;00:07:53;4,82;337,7;1,2;268;79,1;12,0
;;;00:07:53;4,85;337,7;1,2;253;75,7;12,0
;;;00:07:53;4,87;337,7;1,2;284;74,8;12,0
;;;00:07:54;4,89;337,7;1,2;250;74,6;12,0
;;;00:07:54;4,91;337,7;1,2;234;73,7;12,0
;;;00:07:55;4,94;337,7;1,2;235;73,7;12,0
;;;00:07:55;4,96;337,7;1,2;268;77,3;11,9
;;;00:07:55;4,98;337,7;1,2;219;78,0;11,9
;;;00:07:56;5,00;337,7;1,2;215;79,0;12,0
;;;00:07:56;5,02;337,7;1,2;243;81,3;12,0
;;;00:07:57;5,05;337,7;1,2;236;81,3;12,0
;;;00:07:57;5,08;337,7;1,2;213;79,4;12,0
;;;00:07:58;5,11;337,7;1,2;210;79,1;12,0
;;;00:07:58;5,13;337,7;1,2;197;80,2;12,0
;;;00:07:58;5,15;337,7;1,2;260;80,2;12,0
;;;00:07:59;5,18;337,7;1,2;250;80,7;11,9
