;;;Temps;Profondeur (m);Surconsommation (%);Pression béton (bar);Vitesse d'avancement (m/h);Couple de rotation (bar);Vitesse de rotation (rev/min)
;;;00:00:38;2,62;100,4;1,0;295;121,0;20,0
;;;00:00:38;2,64;100,4;1,0;232;117,2;20,5
;;;00:00:39;2,66;100,4;1,0;324;113,4;21,0
;;;00:00:39;2,69;100,4;1,0;377;113,4;21,0
;;;00:00:39;2,71;100,4;1,0;311;113,4;21,0
;;;00:00:39;2,73;100,4;1,0;341;123,1;20,0
;;;00:00:40;2,76;100,4;1,0;282;123,1;20,0
;;;00:00:40;2,78;100,4;1,0;321;123,1;20,0
;;;00:00:40;2,80;100,4;1,0;352;118,3;20,0
;;;00:00:41;2,83;100,4;1,0;311;116,6;20,0
;;;00:00:41;2,85;100,4;1,0;360;116,6;20,0
;;;00:00:41;2,87;100,4;1,0;292;121,2;19,9
;;;00:00:42;2,90;100,4;1,0;302;124,2;19,9
;;;00:00:42;2,92;100,4;1,0;377;124,2;19,9
;;;00:00:42;2,94;100,4;1,0;331;123,6;20,1
;;;00:00:43;2,97;100,4;1,0;334;121,0;20,9
;;;00:00:43;2,99;100,4;1,0;411;121,0;20,9
;;;00:00:43;3,02;100,4;1,0;320;121,0;20,9
;;;00:00:43;3,04;100,4;1,0;373;117,7;21,0
;;;00:00:44;3,07;100,4;1,0;376;117,7;21,0
;;;00:00:44;3,09;100,4;1,0;282;117,7;21,0
;;;00:00:44;3,11;100,4;1,0;292;120,3;20,1
;;;00:00:45;3,13;100,4;1,0;321;121,0;19,9
;;;00:00:45;3,16;100,4;1,0;341;121,0;19,9
;;;00:00:45;3,18;100,4;1,0;302;123,1;19,9
;;;00:00:46;3,20;100,4;1,0;300;126,4;19,9
;;;00:00:46;3,23;100,4;1,0;320;126,4;19,9
;;;00:00:46;3,25;100,4;1,0;292;125,3;20,1
;;;00:00:47;3,27;100,4;1,0;414;121,0;21,0
;;;00:00:47;3,30;100,4;1,0;311;121,0;21,0
;;;00:00:47;3,32;100,4;1,0;341;121,0;21,0
;;;00:00:47;3,34;100,4;1,0;321;121,0;20,0
;;;00:00:48;3,36;100,4;1,0;282;121,0;20,0
;;;00:00:48;3,39;100,4;1,0;389;121,0;20,0
;;;00:00:48;3,41;100,4;1,0;302;121,0;20,6
;;;00:00:49;3,43;100,4;1,0;311;121,0;21,0
;;;00:00:49;3,46;100,4;1,0;357;121,0;21,0
;;;00:00:49;3,49;100,4;1,0;220;120,0;20,9
;;;00:00:50;3,51;100,4;1,0;260;117,7;20,9
;;;00:00:50;3,53;100,4;1,0;285;117,7;20,9
;;;00:00:50;3,56;100,4;1,0;360;117,9;20,7
;;;00:00:51;3,58;100,4;1,0;272;118,8;19,9
;;;00:00:51;3,60;100,4;1,0;331;118,8;19,9
;;;00:00:51;3,63;100,4;1,0;377;118,8;19,9
;;;00:00:51;3,65;100,4;1,0;331;117,1;20,8
;;;00:00:52;3,67;100,4;1,0;292;116,6;21,0
;;;00:00:52;3,70;100,4;1,0;321;116,6;21,0
;;;00:00:52;3,72;100,4;1,0;341;115,6;21,0
;;;00:00:53;3,74;100,4;1,0;302;114,5;20,9
;;;00:00:53;3,76;100,4;1,0;360;114,5;20,9
;;;00:00:53;3,79;100,4;1,0;282;115,8;20,6
;;;00:00:54;3,81;100,4;1,0;331;117,7;20,0
;;;00:00:54;3,83;100,4;1,0;401;117,7;20,0
;;;00:00:54;3,86;100,4;1,0;318;117,7;20,0
;;;00:00:55;3,88;100,4;1,0;292;113,4;20,0
;;;00:00:55;3,90;100,4;1,0;331;113,4;20,0
;;;00:00:55;3,92;100,4;1,0;338;113,4;20,0
;;;00:00:55;3,95;100,4;1,0;311;113,4;19,9
;;;00:00:56;3,97;100,4;1,0;396;113,4;19,8
;;;00:00:56;3,99;100,4;1,0;400;113,4;19,8
;;;00:00:56;4,02;100,4;1,0;380;114,0;19,8
;;;00:00:57;4,04;100,4;1,0;302;116,6;20,0
;;;00:00:57;4,07;100,4;1,0;247;116,6;20,0
;;;00:00:57;4,09;100,4;1,0;246;116,6;20,0
;;;00:00:57;4,11;100,4;1,0;365;114,5;19,9
;;;00:00:58;4,13;100,4;1,0;311;114,5;19,9
;;;00:00:58;4,16;100,4;1,0;360;114,5;19,9
;;;00:00:58;4,18;100,4;1,0;221;115,8;19,9
;;;00:00:59;4,21;100,4;1,0;302;116,6;19,9
;;;00:00:59;4,23;100,4;1,0;365;116,6;19,9
;;;00:00:59;4,25;100,4;1,0;331;116,6;20,4
;;;00:01:00;4,28;100,4;1,0;341;116,6;21,0
;;;00:01:00;4,30;100,4;1,0;311;116,6;21,0
;;;00:01:00;4,33;100,4;1,0;401;116,6;21,0
;;;00:01:01;4,35;100,4;1,0;302;114,5;19,9
