;;;Temps;Profondeur (m);Surconsommation (%);Pression béton (bar);Vitesse d'avancement (m/h);Couple de rotation (bar);Vitesse de rotation (rev/min)
Chantier;GOLDEN GLOVER;;00:00:00;0,00;58,1;1,2;0;-6,2;0,0
Contrat;60159;;00:00:00;0,00;58,1;1,2;0;-6,2;0,0
Nom;P204;;00:00:00;0,00;58,1;1,2;0;-6,2;0,0
Date début;17/02/2021 08:54:58;;00:00:00;0,00;58,1;1,2;0;-6,2;0,0
Début bétonnage;17/02/2021 09:03:13;;00:00:00;0,00;58,1;1,2;0;-6,2;0,0
Fin pieu;17/02/2021 09:18:08;;00:00:10;0,00;58,1;1,2;0;-6,2;0,0
Diamètre pieu (mm);460;;00:00:20;0,00;58,1;1,2;1;4,9;2,3
Longueur pieu (m);26,05;;00:00:30;0,00;58,1;1,2;0;21,9;7,9
Volume béton (m3);4,788;;00:00:39;0,03;58,1;1,2;8;39,2;11,2
Surconsommation (%);10;;00:00:40;0,05;58,1;1,2;236;43,5;12,0
;;;00:00:40;0,07;58,1;1,2;282;43,5;12,0
;;;00:00:40;0,10;58,1;1,2;389;43,5;12,0
;;;00:00:41;0,12;58,1;1,2;350;43,5;12,0
;;;00:00:41;0,15;58,1;1,2;260;51,0;12,0
;;;00:00:41;0,17;58,1;1,2;243;51,0;12,0
;;;00:00:42;0,19;58,1;1,2;272;54,3;12,0
;;;00:00:42;0,21;58,1;1,2;268;56,4;12,0
;;;00:00:43;0,24;58,1;1,2;258;56,4;12,0
;;;00:00:43;0,26;58,1;1,2;397;56,4;12,0
;;;00:00:43;0,29;58,1;1,2;219;56,4;12,0
;;;00:00:44;0,31;58,1;1,2;246;56,9;12,0
;;;00:00:44;0,34;58,1;1,2;311;57,5;12,0
;;;00:00:44;0,36;58,1;1,2;272;57,5;12,0
;;;00:00:45;0,38;58,1;1,2;302;58,0;12,0
;;;00:00:45;0,40;58,1;1,2;365;59,7;12,0
;;;00:00:45;0,43;58,1;1,2;311;59,7;12,0
;;;00:00:46;0,45;58,1;1,2;311;59,7;12,0
;;;00:00:46;0,47;58,1;1,2;321;58,8;12,0
;;;00:00:46;0,50;58,1;1,2;276;58,6;12,0
;;;00:00:47;0,52;58,1;1,2;271;59,2;12,0
;;;00:00:47;0,54;58,1;1,2;341;60,8;12,0
;;;00:00:47;0,57;58,1;1,2;250;60,8;12,0
;;;00:00:48;0,60;58,1;1,2;272;63,4;11,6
;;;00:00:48;0,63;58,1;1,2;352;67,2;11,0
;;;00:00:49;0,65;58,1;1,2;372;67,2;11,0
;;;00:00:49;0,67;58,1;1,2;208;72,6;12,0
;;;00:00:49;0,70;58,1;1,2;260;72,6;12,0
;;;00:00:50;0,73;58,1;1,2;308;73,5;12,0
;;;00:00:50;0,75;58,1;1,2;220;75,9;12,0
;;;00:00:51;0,78;58,1;1,2;268;75,9;12,0
;;;00:00:51;0,80;58,1;1,2;229;80,5;12,0
;;;00:00:51;0,82;58,1;1,2;272;81,3;12,0
;;;00:00:52;0,84;58,1;1,2;282;82,2;12,0
;;;00:00:52;0,87;58,1;1,2;259;86,7;12,0
;;;00:00:53;0,89;58,1;1,2;243;86,7;12,0
;;;00:00:53;0,92;58,1;1,2;268;84,9;12,0
;;;00:00:53;0,94;58,1;1,2;284;84,5;12,0
;;;00:00:54;0,97;58,1;1,2;250;86,7;12,0
;;;00:00:54;0,99;58,1;1,2;268;92,1;12,0
;;;00:00:55;1,01;58,1;1,2;250;92,1;12,0
;;;00:00:55;1,03;58,1;1,2;401;94,5;12,0
;;;00:00:55;1,06;58,1;1,2;251;95,3;12,0
;;;00:00:56;1,09;58,1;1,2;225;97,2;11,5
;;;00:00:56;1,11;58,1;1,2;243;99,6;10,9
;;;00:00:57;1,14;58,1;1,2;213;100,2;10,9
;;;00:00:57;1,16;58,1;1,2;268;104,0;10,9
;;;00:00:58;1,18;58,1;1,2;250;104,0;10,9
;;;00:00:58;1,21;58,1;1,2;300;104,7;11,0
;;;00:00:58;1,23;58,1;1,2;235;105,0;11,0
;;;00:00:59;1,25;58,1;1,2;202;106,3;11,0
;;;00:00:59;1,27;58,1;1,2;251;109,4;11,0
;;;00:01:00;1,29;58,1;1,2;236;109,4;11,0
;;;00:01:00;1,32;58,1;1,2;308;107,6;11,0
;;;00:01:00;1,34;58,1;1,2;219;107,2;11,0
;;;00:01:01;1,36;58,1;1,2;215;109,7;11,0
;;;00:01:01;1,39;58,1;1,2;260;115,8;11,0
;;;00:01:02;1,41;58,1;1,2;229;115,8;11,0
;;;00:01:02;1,43;58,1;1,2;284;115,8;12,0
;;;00:01:02;1,46;58,1;1,2;243;115,8;12,0
;;;00:01:03;1,48;58,1;1,2;215;116,8;11,5
;;;00:01:03;1,50;58,1;1,2;327;118,0;11,0
;;;00:01:04;1,52;58,1;1,2;194;118,0;11,0
;;;00:01:04;1,54;58,1;1,2;211;120,2;11,6
;;;00:01:04;1,57;58,1;1,2;195;121,2;12,0
;;;00:01:05;1,59;58,1;1,2;268;121,6;12,0
;;;00:01:05;1,61;58,1;1,2;268;122,3;12,0
;;;00:01:06;1,64;58,1;1,2;193;122,3;12,0
;;;00:01:06;1,66;58,1;1,2;243;125,9;11,2
;;;00:01:06;1,68;58,1;1,2;236;126,6;11,0
;;;00:01:07;1,71;58,1;1,2;308;126,6;11,0
;;;00:01:07;1,73;58,1;1,2;276;126,6;10,9
;;;00:01:08;1,75;58,1;1,2;264;126,6;10,9
;;;00:01:08;1,78;58,1;1,2;284;129,9;11,0
;;;00:01:08;1,80;58,1;1,2;251;129,9;11,0
;;;00:01:09;1,83;58,1;1,2;243;131,7;11,0
;;;00:01:09;1,85;58,1;1,2;251;134,2;11,0
;;;00:01:10;1,88;58,1;1,2;236;134,5;11,0
;;;00:01:10;1,90;58,1;1,2;282;136,4;11,0
;;;00:01:11;1,93;58,1;1,2;249;136,4;11,0
;;;00:01:11;1,96;58,1;1,2;310;141,0;11,0
;;;00:01:11;1,98;58,1;1,2;354;142,8;10,9
;;;00:01:12;2,01;58,1;1,2;268;145,0;11,0
;;;00:01:12;2,03;58,1;1,2;236;149,3;11,0
